Hardware,Provider,Carbon Emission,Coord
AMD RX480,Google Cloud Platform,0.85,"(1, 0.85)"
GTX 1080 Ti,Google Cloud Platform,1.42,"(0.7, 1.5)"
Intel Xeon E5-2699,Google Cloud Platform,0.83,"(0.2, 0.6)"
RTX 8000,Google Cloud Platform,1.48,"(1.5, 1.48)"
TPUv3 Chip,Google Cloud Platform,1.61,"(1, 1.61)"
Tesla K40c,Google Cloud Platform,1.4,"(0, 1.4)"
Tesla V100-SXM2-32 GB,Google Cloud Platform,1.71,"(1, 1.71)"
Titan RTX,Google Cloud Platform,1.6,"(0, 1,6)"
AMD RX480,Amazon Web Services,0.45,"(0.5, 0.45)"
GTX 1080 Ti,Amazon Web Services,0.75,"(1, 0.75)"
Intel Xeon E5-2699,Amazon Web Services,0.43,"(0, 0.38)"
RTX 8000,Amazon Web Services,0.78,"(0, 0.78)"
TPUv3 Chip,Amazon Web Services,0.85,"(0, 0.85)"
Tesla K40c,Amazon Web Services,0.73,"(0.8, 0.6)"
Tesla V100-SXM2-32 GB,Amazon Web Services,0.9,"(1, 0.9)"
Titan RTX,Amazon Web Services,0.84,"(0.5, 0.9)"
AMD RX480,Azure,1.35,"(2, 1.35)"
GTX 1080 Ti,Azure,2.25,"(1, 2.25)"
Intel Xeon E5-2699,Azure,1.3,"(0,1.35)"
RTX 8000,Azure,2.34,"(1, 2.34)"
TPUv3 Chip,Azure,2.55,"(1,2.55)"
Tesla K40c,Azure,2.21,"(0, 2.21)"
Tesla V100-SXM2-32 GB,Azure,2.7,"(1,2.7)"
Titan RTX,Azure,2.52,"(0, 2.52)"
