Hardware,Region,Carbon Emission
AMD RX480,AWS GovCloud (US),0.9
GTX 1080 Ti,AWS GovCloud (US),1.5
Intel Xeon E5-2699,AWS GovCloud (US),0.87
RTX 8000,AWS GovCloud (US),1.56
TPUv3 Chip,AWS GovCloud (US),1.7
Tesla K40c,AWS GovCloud (US),1.47
Tesla V100-SXM2-32 GB,AWS GovCloud (US),1.8
Titan RTX,AWS GovCloud (US),1.68
AMD RX480,Asia Pacific (Mumbai),2.76
GTX 1080 Ti,Asia Pacific (Mumbai),4.6
Intel Xeon E5-2699,Asia Pacific (Mumbai),2.67
RTX 8000,Asia Pacific (Mumbai),4.78
TPUv3 Chip,Asia Pacific (Mumbai),5.21
Tesla K40c,Asia Pacific (Mumbai),4.51
Tesla V100-SXM2-32 GB,Asia Pacific (Mumbai),5.52
Titan RTX,Asia Pacific (Mumbai),5.15
AMD RX480,China (Beijing),2.04
GTX 1080 Ti,China (Beijing),3.4
Intel Xeon E5-2699,China (Beijing),1.97
RTX 8000,China (Beijing),3.54
TPUv3 Chip,China (Beijing),3.85
Tesla K40c,China (Beijing),3.33
Tesla V100-SXM2-32 GB,China (Beijing),4.08
Titan RTX,China (Beijing),3.81
AMD RX480,EU (Ireland),1.86
GTX 1080 Ti,EU (Ireland),3.1
Intel Xeon E5-2699,EU (Ireland),1.8
RTX 8000,EU (Ireland),3.22
TPUv3 Chip,EU (Ireland),3.51
Tesla K40c,EU (Ireland),3.04
Tesla V100-SXM2-32 GB,EU (Ireland),3.72
Titan RTX,EU (Ireland),3.47
