tdp,runTime,cores,memory,carbonEmission,coreType_GPU
11.3,1.0,1,1.0,0.281936832,0
7.5,1.898169922,2,1.2,0.642196816,0
4.2,2.553636143,4,1.4,1.007949716,0
15.0,3.693061749,6,1.0,1.041210128,0
17.5,5.445058822,8,1.2,1.842195158,0
23.8,6.832400775,10,1.4,2.696827596,0
16.3,1.0,12,1.0,0.281936832,0
15.5,1.898169922,14,1.2,0.642196816,0
22.8,2.553636143,16,1.4,1.007949716,0
22.8,3.693061749,18,1.0,1.041210128,0
16.3,5.445058822,20,1.2,1.842195158,0
16.3,6.832400775,22,1.4,2.696827596,0
11.3,15.0,1,1.0,132.5197718,0
7.5,15.39994421,2,1.2,180.0482198,0
4.2,15.41327502,4,1.4,202.0719179,0
15.0,16.67808661,6,1.6,1143.617482,0
17.5,18.61239912,8,1.8,1981.668133,0
23.8,19.48604089,10,2.0,3521.141129,0
16.3,21.03978258,12,2.2,3127.889387,0
15.5,21.93865813,14,2.4,3618.10253,0
22.8,23.20299479,16,2.6,6423.561425,0
22.8,23.36692584,18,2.8,7276.738962,0
16.3,23.74508025,20,3.0,5878.993198,0
16.3,24.73161595,22,3.2,6734.874915,0
10.8,25.924751,24,3.4,5110.836711,0
10.8,27.55023025,26,3.6,5883.245505,0
10.8,28.51707961,28,3.8,6557.533417,0
10.8,28.65588072,30,4.0,7059.548866,0
15.8,29.0010018,32,4.2,11132.36365,0
19.3,30.47713059,34,4.4,15174.66914,0
21.0,32.07646677,36,4.6,18395.73257,0
10.8,32.61269874,38,4.8,10174.37219,0
10.8,33.44861968,40,5.0,10983.88184,0
15.8,35.19490262,42,5.2,17728.72527,0
8.1,36.29712337,44,5.4,9846.450028,0
15.6,36.50391886,46,5.6,19884.19816,0
21.7,36.9257442,48,5.8,29171.29115,0
23.8,38.92397255,50,6.0,35124.04803,0
15.8,38.9285891,52,6.2,24275.809,0
8.1,39.42442267,54,6.4,13122.91467,0
11.9,40.42015713,56,6.6,20462.45727,0
12.5,42.127392,58,6.8,23197.58681,0
10.5,42.15820997,60,7.0,20185.61737,0
16.5,43.15224253,62,7.2,33499.75583,0
13.8,44.20822456,64,7.4,29644.28706,0
11.9,44.23151203,66,7.6,26388.26485,0
15.8,45.25375188,68,7.8,36899.37465,0
15.6,45.75194215,70,8.0,37917.63649,0
16.3,46.68672126,72,8.2,41578.40955,0
16.3,47.11906134,74,8.4,43128.72658,0
7.5,48.89521804,76,8.6,21212.93486,0
10.8,50.22354147,78,8.8,32146.8115,0
10.8,51.27016931,80,9.0,33657.81538,0
16.3,51.46480165,82,9.2,52197.46237,0
3.8,52.37969317,84,9.4,12793.5029,0
10.8,53.49775334,86,9.6,37753.06081,0
15.8,55.45974714,88,9.8,58516.98333,0
13.1,56.50126723,90,10.0,50578.68139,0
8.1,57.07975782,92,10.2,32358.56004,0
13.1,57.74768223,94,10.4,53991.25171,0
10.4,59.60746626,96,10.6,45221.49794,0
6.6,60.52389735,98,10.8,29813.66149,0
7.8,61.98829406,100,11.0,36787.92491,0
4.4,62.12746185,102,11.2,21300.04428,0
10.5,62.81108633,104,11.4,52115.8784,0
14.4,64.29746617,106,11.6,74492.99518,0
14.4,65.84186352,108,11.8,77721.22288,0
11.5,66.27625363,110,12.0,63680.42174,0
10.0,67.94997375,112,12.2,57835.09812,0
7.5,67.99769544,114,12.4,44241.08177,0
13.0,68.11220376,116,12.6,77983.2643,0
11.3,68.69667712,118,12.8,69577.9948,0
6.7,69.28826227,120,13.0,42417.90059,0
8.1,69.54811929,122,13.2,52277.08272,0
8.1,70.10930496,124,13.4,53562.5004,0
6.6,70.54702411,126,13.6,44674.15605,0
10.5,72.0863338,128,13.8,73609.80305,0
11.9,72.18792595,130,14.0,84809.00691,0
14.4,73.6000119,132,14.2,106180.9756,0
10.3,73.83940768,134,14.4,77435.54026,0
6.8,74.21721257,136,14.6,52254.59506,0
9.4,74.80205608,138,14.8,73754.38061,0
7.5,75.50392463,140,15.0,60323.88493,0
7.5,76.30338976,142,15.2,61833.20507,0
6.3,77.38101855,144,15.4,53468.81392,0
10.0,77.57263076,146,15.6,86062.11885,0
3.8,78.70472473,148,15.8,33852.66916,0
7.1,80.09483986,150,16.0,64923.70943,0
23.8,81.66402749,152,16.2,223975.6048,0
15.8,82.31884006,154,16.4,151981.805,0
11.3,83.43075944,156,16.6,111705.7468,0
7.5,85.12641982,158,16.8,76753.0666,0
4.2,85.20604668,160,17.0,43746.02317,0
15.0,86.18606723,162,17.2,158932.3994,0
17.5,86.49640323,164,17.4,188315.1114,0
23.8,86.78872164,166,17.6,259952.4709,0
16.3,88.10940071,168,17.8,183060.6328,0
15.5,89.70829902,170,18.0,179366.9725,0
22.8,89.91254984,172,18.2,267337.1339,0
22.8,91.60589337,174,18.4,275538.7705,0
16.3,91.96911544,176,18.6,200177.5772,0
16.3,92.27570445,178,18.8,203126.9235,0
10.8,94.14215706,180,19.0,139022.2148,0
10.8,95.52323282,182,19.2,142628.7388,0
10.8,95.56957763,184,19.4,144265.7508,0
10.8,95.96041917,186,19.6,146429.9652,0
15.8,96.35056695,188,19.8,217155.9655,0
19.3,96.86063311,190,20.0,269379.8974,0
21.0,97.98380734,192,20.2,299578.1227,0
10.8,99.00144383,194,20.4,157566.8409,0
10.8,100.5464305,196,20.6,161675.2396,0
15.8,101.6478795,198,20.8,241279.4923,0
8.1,103.0350912,200,21.0,126945.6268,0
15.6,104.8013666,202,21.2,250585.2157,0
21.7,106.4029754,204,21.4,357149.9208,0
23.8,107.0146872,206,21.6,397763.7845,0
15.8,107.9328482,208,21.8,269135.7498,0
8.1,108.8131039,210,22.0,140766.188,0
11.9,109.3466783,212,22.2,209476.4487,0
12.5,110.8638386,214,22.4,225160.291,0
10.5,111.5942182,216,22.6,192273.4584,0
16.5,113.379406,218,22.8,309402.8941,0
13.8,114.1554754,220,23.0,263055.8059,0
11.9,115.7248753,222,23.2,232151.0028,0
15.8,116.3575797,224,23.4,312459.409,0
15.6,117.0779972,226,23.6,313195.4289,0
16.3,117.3911467,228,23.8,330992.4692,0
16.3,118.1110343,230,24.0,335943.1978,0
7.5,118.5272121,232,24.2,156905.0845,0
10.8,119.4398276,234,24.4,229283.8385,0
10.8,120.6110046,236,24.6,233510.7161,0
16.3,122.3994672,238,24.8,360248.8316,0
3.8,123.3656901,240,25.0,86025.43821,0
10.8,125.0427397,242,25.2,248244.7978,0
15.8,125.3320457,244,25.4,366605.6271,0
13.1,127.0384216,246,25.6,310777.9898,0
8.1,128.0566134,248,25.8,195630.7171,0
13.1,129.1828972,250,26.0,321162.0972,0
10.4,130.7184646,252,26.2,260261.9054,0
6.6,131.186857,254,26.4,167430.1655,0
7.8,133.0841267,256,26.6,202132.4719,0
4.4,134.7714694,258,26.8,116814.9408,0
10.5,136.348883,260,27.0,282772.2572,0
14.4,137.3795123,262,27.2,393347.1816,0
14.4,137.4711495,264,27.4,396613.9158,0
11.5,137.5103634,266,27.6,319446.1205,0
10.0,138.2947749,268,27.8,281605.4011,0
7.5,138.9669516,270,28.0,214088.4509,0
13.0,139.5481966,272,28.2,374584.9127,0
11.3,141.1122184,274,28.4,331818.4404,0
6.7,142.1804634,276,28.6,200144.7484,0
8.1,143.9641775,278,28.8,246532.3643,0
8.1,145.639522,280,29.0,251195.277,0
6.6,146.9427247,282,29.2,208207.9622,0
10.5,148.2526651,284,29.4,335836.3694,0
11.9,148.9804001,286,29.6,385010.3272,0
14.4,150.6342898,288,29.8,474094.8661,0
10.3,150.7078599,290,30.0,341993.9465,0
